vertex_1,vertex_2,diameter,length,flow_rate,rbc_velocity,ht,rbc_probability
41,45,2.9238080978e-06,3.6070338854006464e-05,-6.804673291982269e-18,-1.0688656590900933e-06,0.3,0.8722797018889844
42,43,6.8708586692e-06,9.2554162312527e-05,-1.2315584071519616e-17,-4.54937590125227e-07,0.3,0.3333333333333333
42,73,5.152987956999999e-06,3.412022690677112e-05,3.1043593685463123e-16,1.920089650479766e-05,0.3,0.3333333333333333
43,148,3.1879184245999995e-06,3.704843013704664e-05,2.3882919896271374e-17,3.2703030164007387e-06,0.3,1.0
44,205,3.2048346996e-06,0.0001167038264708,-1.4462662729410738e-17,-1.9637476476506798e-06,0.3,0.3333333333333333
44,48,6.6884775162e-06,7.465393841805632e-05,1.198781546964014e-17,4.6533049028035406e-07,0.3,0.3333333333333333
44,48,4.4563117028e-06,5.294792507365829e-05,2.4748472597702493e-18,1.9617046431354238e-07,0.3,0.3333333333333333
45,104,3.7486784458e-06,7.496837587490008e-05,-2.6879777781190938e-17,-2.835850130578844e-06,0.3,1.0
46,81,3.6e-05,9.90647521920774e-05,-1.2133380878787065e-13,-0.0001576008369016,0.3,1.0
47,182,3.3631174564e-06,8.957947081783883e-05,-7.602171246612498e-20,-9.556752553084416e-09,0.3,1.0
48,118,6.586934089599999e-06,9.397177566325208e-05,2.494532896350011e-16,9.95857768900867e-06,0.3,1.0
48,166,3.8318376542e-06,3.47804809446155e-05,-2.34990626905592e-16,-2.392034645424375e-05,0.3,1.0
49,53,3.8012275696e-06,4.1073738642358464e-05,-2.7085375812451985e-16,-2.7934387964242225e-05,0.3,1.0
49,110,6.736545085999999e-06,2.529179978202492e-05,-6.27421835868204e-16,-2.40360642285732e-05,0.3,1.0
50,55,5.1914305686e-06,3.360550828100969e-05,-1.0356193867549227e-16,-6.323305073526023e-06,0.3,0.23569525999223143
50,91,5.4545960426e-06,1.4949382989376326e-05,-1.116699491318122e-16,-6.253864423758502e-06,0.3,0.7600785678970107
51,57,3.2051954269999994e-06,2.3192023676495603e-05,-3.624387024369769e-18,-4.920328074454863e-07,0.3,0.25
51,80,3.6848831176e-06,3.648455241637956e-05,6.083512758199135e-17,6.599800818258e-06,0.3,0.25
52,58,3.4715163708e-06,9.570042668246896e-05,-8.345160371373101e-17,-9.9696506546548e-06,0.3,0.6566817392558443
52,95,2.1280473709999994e-05,6.067584713501613e-05,1.3093751815556006e-15,5.095304788390048e-06,0.3,0.6163951926613714
53,86,3.2101902962e-06,5.970601334439803e-05,-4.5703483166555976e-17,-6.189144226867624e-06,0.3,1.0
54,65,4.4443154336e-06,1.785300667219901e-05,-1.4816023153406083e-16,-1.179735775863601e-05,0.3,0.3333333333333333
54,82,4.2025976182e-06,1.6902894724963672e-05,8.642468408894458e-17,7.555698293408334e-06,0.3,0.3333333333333333
54,107,3.751876831e-06,8.17223353994288e-05,6.173554744511813e-17,6.5041402499029565e-06,0.3,0.3333333333333333
55,99,6.2073783874e-06,3.285567750269199e-05,-7.03352787328706e-17,-3.128150755634009e-06,0.3,0.17059774087543197
55,342,4.418540001e-06,7.075031473523361e-05,-3.3226659942622365e-17,-2.6716669887658625e-06,0.3,0.874462320153188
56,233,3.9182038308e-06,0.0001877481278616,-2.8034696672134306e-17,-2.7514810342531865e-06,0.3,0.3333333333333333
56,6550,5.8371977806e-06,8.706742302257038e-06,2.7275695136121177e-17,1.3547387477038208e-06,0.3,0.3333333333333333
56,6556,2.4741356372e-06,4.445924391106773e-05,7.590015360115984e-19,1.5787223731712324e-07,0.3,0.3333333333333333
57,68,4.593460083e-06,4.560550828100968e-05,6.50832384278103e-17,4.901727466103775e-06,0.3,0.18587016006076765
57,283,4.207511424999999e-06,4.41912947186366e-05,-6.870762545217969e-17,-5.995126321352084e-06,0.3,0.82476631817102
58,6671,3.0244882106e-06,2.699927104214097e-05,-4.20708356226864e-17,-6.263381022430616e-06,0.3,1.0
58,129,3.0628564358e-06,2.9216603223948432e-05,-4.820221194835997e-17,-7.034092759421217e-06,0.3,1.0
59,338,5.165966034e-06,0.0001356025924495,8.093031481773366e-16,4.983847097692775e-05,0.3,0.3333333333333333
59,300,5.4867858886e-06,7.097177566325209e-05,1.1453196112655689e-15,6.348120514437802e-05,0.3,0.3333333333333333
59,1040,6.555931091399999e-06,0.0002453650484224,1.5813174582848345e-15,6.36762578198734e-05,0.3,0.3333333333333333
60,79,3.824439048799999e-06,2.6170843917394783e-05,8.447101793225967e-17,8.625729733321107e-06,0.3,0.3333333333333333
